,school,district,city,state,county,address,zip,school_sample,cleaned
917,Robertson El,Frisco Isd,Little Elm,TX,Denton County,2501 WOODLAKE PKWY,75068,0,Robertson Elementary School
918,Griffin Middle,Frisco Isd,Frisco,TX,Denton County,3703 EDORADO PKWY,75034,0,Griffin Middle School
919,Borchardt El,Frisco Isd,Plano,TX,Collin County,4300 WASKOM DR,75024,0,Borchardt Elementary School
920,Ogle El,Frisco Isd,Mckinney,TX,Collin County,4200 BIG FORK TRL,75070,0,Ogle Elementary School
921,Fowler Middle,Frisco Isd,Plano,TX,Collin County,3801 MCDERMOTT RD,75025,0,Fowler Middle School
922,Sem El,Frisco Isd,Frisco,TX,Collin County,12721 HONEY GROVE DR,75035,0,Sem Elementary School
923,Mooneyham El,Frisco Isd,Mckinney,TX,Collin County,2301 EDEN DR,75070,0,Mooneyham Elementary School
924,Smith El,Frisco Isd,Frisco,TX,Collin County,9800 SEAN DR,75035,0,Smith Elementary School
925,Miller El,Frisco Isd,Little Elm,TX,Denton County,300 CYPRESS HILL DR,75068,0,Miller Elementary School
926,Curtsinger El,Frisco Isd,Frisco,TX,Collin County,12450 JEREME TRL,75035,0,Curtsinger Elementary School
927,Allen El,Frisco Isd,Frisco,TX,Denton County,5800 LEGACY DR,75034,0,Allen Elementary School
928,Centennial H S,Frisco Isd,Frisco,TX,Collin County,6901 COIT RD,75035,0,Centennial High School
929,Ashley El,Frisco Isd,Frisco,TX,Collin County,15601 CHRISTOPHER LN,75035,0,Ashley Elementary School
930,Bledsoe El,Frisco Isd,Frisco,TX,Denton County,1900 TIMBER RDG DR,75034,0,Bledsoe Elementary School
931,Phillips El,Frisco Isd,Frisco,TX,Denton County,2285 LITTLE RIVER DR,75033,0,Phillips Elementary School
932,Bright El,Frisco Isd,Frisco,TX,Collin County,7600 WOODSTREAM DR,75034,0,Bright Elementary School
933,Carroll El,Frisco Isd,Frisco,TX,Denton County,4380 THRONE HALL DR,75034,0,Carroll Elementary School
934,Staley Middle,Frisco Isd,Frisco,TX,Collin County,6927 STADIUM LN,75034,0,Staley Middle School
935,Reedy H S,Frisco Isd,Frisco,TX,Denton County,3003 STONEBROOK PKWY,75034,0,Reedy High School
936,Independence H S,Frisco Isd,Frisco,TX,Collin County,10555 INDEPENDENCE PKWY,75035,0,Independence High School
937,Mcspedden El,Frisco Isd,Frisco,TX,Collin County,14140 COUNTRYBROOK DR,75035,0,Mcspedden Elementary School
938,Boals El,Frisco Isd,Frisco,TX,Denton County,2035 JAGUAR DR,75034,0,Boals Elementary School
939,Sparks El,Frisco Isd,Frisco,TX,Denton County,8200 OTIS DR,75034,0,Sparks Elementary School
940,Cobb Middle,Frisco Isd,Frisco,TX,Denton County,9400 TEEL PKWY,75034,0,Cobb Middle School
941,Gunstream El,Frisco Isd,Frisco,TX,Collin County,7600 ROCKYRIDGE DR,75035,0,Gunstream Elementary School
942,Scott El,Frisco Isd,Mckinney,TX,Collin County,10550 MILLBEND DR,75070,1,Scott Elementary School
943,Rogers Elementary,Frisco Isd,Frisco,TX,Collin County,10500 ROGERS RD,75034,0,Rogers Elementary School
944,Vandalia Elementary,Guilford County Schools,Greensboro,NC,Guilford County,407 East Vandalia Road,27406,0,Vandalia Elementary School
945,Millis Road Elementary,Guilford County Schools,Jamestown,NC,Guilford County,4310 Millis Road,27282,0,Millis Road Elementary School
946,Sedalia Elementary,Guilford County Schools,Sedalia,NC,Guilford County,6120 Burlington Road,27342,0,Sedalia Elementary School
947,Murphey Traditional Academy,Guilford County Schools,Greensboro,NC,Guilford County,2306 Ontario Street,27403,0,Murphey Traditional Academy
948,Wiley Accel/Enrichment,Guilford County Schools,Greensboro,NC,Guilford County,600 West Terrell Street,27406,0,Wiley Accel/Enrichment
949,John Van Lindley Elementary,Guilford County Schools,Greensboro,NC,Guilford County,2700 Camden Road,27403,0,John Van Lindley Elementary School
950,Page High,Guilford County Schools,Greensboro,NC,Guilford County,201 Alma Pinnix Drive,27405,0,Page High School
951,Sumner Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1915 Harris Drive,27406,0,Sumner Elementary School
952,Gc Middle College High,Guilford County Schools,Greensboro,NC,Guilford County,815 West Market Street,27401,0,Gc Middle College High School
953,Western Guilford High,Guilford County Schools,Greensboro,NC,Guilford County,409 Friendway Road,27410,0,Western Guilford High School
954,Northern Guilford Middle,Guilford County Schools,Greensboro,NC,Guilford County,616 Simpson-Calhoun Road,27455,0,Northern Guilford Middle School
955,James B Dudley High,Guilford County Schools,Greensboro,NC,Guilford County,1200 Lincoln Street,27401,0,James B Dudley High School
956,Oak Hill Elementary,Guilford County Schools,High Point,NC,Guilford County,320 Wrightenberry Street,27260,0,Oak Hill Elementary School
957,Fairview Elementary,Guilford County Schools,High Point,NC,Guilford County,608 Fairview Street,27260,0,Fairview Elementary School
958,Edwin A Alderman Elementary,Guilford County Schools,Greensboro,NC,Guilford County,4211 Chateau Drive,27407,0,Edwin A Alderman Elementary School
959,George C Simkins Jr Elementary,Guilford County Schools,Greensboro,NC,Guilford County,3511 East Lee St,27406,0,George C Simkins Jr Elementary School
960,Gtcc Middle College High,Guilford County Schools,Jamestown,NC,Guilford County,601 East Main Street,27282,0,Gtcc Middle College High School
961,Sternberger Elementary,Guilford County Schools,Greensboro,NC,Guilford County,518 North Holden Road,27410,0,Sternberger Elementary School
962,Gibsonville Elementary,Guilford County Schools,Gibsonville,NC,Guilford County,401 East Joyner Street,27249,0,Gibsonville Elementary School
963,Rankin Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1501 Spry Street,27405,0,Rankin Elementary School
964,Brooks Global Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1215 Westover Terrace,27408,0,Brooks Global Elementary School
965,Jefferson Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1400 New Garden Road,27410,0,Jefferson Elementary School
966,Archer Elementary,Guilford County Schools,Greensboro,NC,Guilford County,2610 Four Seasons Boulevard,27407,1,Archer Elementary School
967,Southeast Guilford High,Guilford County Schools,Greensboro,NC,Guilford County,4530 Southeast School Road,27406,0,Southeast Guilford High School
968,Oak View Elementary,Guilford County Schools,High Point,NC,Guilford County,614 Oakview Road,27265,0,Oak View Elementary School
969,Kiser Middle,Guilford County Schools,Greensboro,NC,Guilford County,716 Benjamin Parkway,27408,0,Kiser Middle School
970,Southwest Elementary,Guilford County Schools,High Point,NC,Guilford County,4372 Southwest School Road,27265,0,Southwest Elementary School
971,Ben L. Smith High School,Guilford County Schools,Greensboro,NC,Guilford County,2407 South Holden Road,27407,0,Ben L. Smith High School
972,Penn-Griffin Schools,Guilford County Schools,High Point,NC,Guilford County,825 Washington Street,27260,0,Penn-Griffin Schools
973,Shadybrook Elementary,Guilford County Schools,High Point,NC,Guilford County,503 Shadybrook Rd,27265,0,Shadybrook Elementary School
974,High School Ahead Academy,Guilford County Schools,Greensboro,NC,Guilford County,1401Summit Avenue,27405,0,High School Ahead Academy
975,Northwood Elementary,Guilford County Schools,High Point,NC,Guilford County,818 West Lexington Avenue,27262,0,Northwood Elementary School
976,Allen Middle,Guilford County Schools,Greensboro,NC,Guilford County,1108 Glendale Drive,27406,0,Allen Middle School
977,Herbin Metz Education Center,Guilford County Schools,Greensboro,NC,Guilford County,400 O' Ferrell Street,27405,0,Herbin Metz Education Center
978,Early College At Guilford,Guilford County Schools,Greensboro,NC,Guilford County,5608 West Friendly Avenue,27410,0,Early College At Guilford
979,Grimsley High,Guilford County Schools,Greensboro,NC,Guilford County,801 Westover Terrace,27408,0,Grimsley High School
980,High Point Central High,Guilford County Schools,High Point,NC,Guilford County,801 Ferndale Boulevard,27262,0,High Point Central High School
981,Julius I Foust Elementary,Guilford County Schools,Greensboro,NC,Guilford County,2610 Floyd Street,27406,0,Julius I Foust Elementary School
982,David D Jones Elementary,Guilford County Schools,Greensboro,NC,Guilford County,502 South Street,27406,0,David D Jones Elementary School
983,Northern Guilford High,Guilford County Schools,Greensboro,NC,Guilford County,7101 Spencer Dixon Road,27455,0,Northern Guilford High School
984,Ceasar Cone Elementary,Guilford County Schools,Greensboro,NC,Guilford County,2501 North Church Street,27405,0,Ceasar Cone Elementary School
985,Summerfield Elementary,Guilford County Schools,Summerfield,NC,Guilford County,7501 Summerfield Road,27358,0,Summerfield Elementary School
986,Southern Guilford Middle,Guilford County Schools,Greensboro,NC,Guilford County,5747 Drake Rd,27406,0,Southern Guilford Middle School
987,Union Hill Elementary,Guilford County Schools,High Point,NC,Guilford County,3523 Triangle Lake Road,27260,0,Union Hill Elementary School
988,Middle College High At Bennett,Guilford County Schools,Greensboro,NC,Guilford County,610 Gorrell Street,27406,0,Middle College High At Bennett
989,Lucy Ragsdale High,Guilford County Schools,Jamestown,NC,Guilford County,1000 Lucy Ragsdale Drive,27282,0,Lucy Ragsdale High School
990,Montlieu Academy Of Technology,Guilford County Schools,High Point,NC,Guilford County,1105 Montlieu Avenue,27262,0,Montlieu Academy Of Technology
991,Jesse Wharton Elem,Guilford County Schools,Greensboro,NC,Guilford County,5813 Lake Brandt Road,27455,0,Jesse Wharton Elem
992,Washington Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1110 East Washington Street,27401,0,Washington Elementary School
993,Lincoln Academy,Guilford County Schools,Greensboro,NC,Guilford County,1016 Lincoln Street,27401,0,Lincoln Academy
994,Kearns Academy,Guilford County Schools,High Point,NC,Guilford County,1710 McGuinn Dr.,27265,0,Kearns Academy
995,Northeast Guilford High,Guilford County Schools,Mcleansville,NC,Guilford County,6700 McLeansville Road,27301,0,Northeast Guilford High School
996,Kernodle Middle,Guilford County Schools,Greensboro,NC,Guilford County,3600 Drawbridge Parkway,27410,0,Kernodle Middle School
997,Stokesdale Elementary,Guilford County Schools,Stokesdale,NC,Guilford County,8025 US Highway 158,27357,1,Stokesdale Elementary School
998,Jackson Middle,Guilford County Schools,Greensboro,NC,Guilford County,2200 Ontario Street,27403,0,Jackson Middle School
999,Southwest Guilford Middle,Guilford County Schools,High Point,NC,Guilford County,4368 Southwest School Road,27265,0,Southwest Guilford Middle School
1000,Allen Jay Elementary,Guilford County Schools,High Point,NC,Guilford County,1311 East Springfield Road,27263,0,Allen Jay Elementary School
1001,Erwin Montessori,Guilford County Schools,Greensboro,NC,Guilford County,3012 East Bessemer Aveune,27405,0,Erwin Montessori
1002,Western Guilford Middle,Guilford County Schools,Greensboro,NC,Guilford County,320 Lindley Road,27410,0,Western Guilford Middle School
1003,Southern Elementary,Guilford County Schools,Greensboro,NC,Guilford County,5720 Drake Road,27406,0,Southern Elementary School
1004,Pleasant Garden Elementary,Guilford County Schools,Pleasant Garden,NC,Guilford County,4833 Pleasant Garden Road,27313,0,Pleasant Garden Elementary School
1005,Colfax Elementary,Guilford County Schools,Colfax,NC,Guilford County,9112 West Market Street,27235,0,Colfax Elementary School
1006,Otis L Hairston Sr Middle,Guilford County Schools,Greensboro,NC,Guilford County,3911 Naco Rd,27401,0,Otis L Hairston Sr Middle School
1007,Scale School,Guilford County Schools,Greensboro,NC,Guilford County,116 Pisgah Church Road,27455,0,Scale School
1008,Doris Henderson Newcomers Sch,Guilford County Schools,Greensboro,NC,Guilford County,411 Friendway Road,27410,0,Doris Henderson Newcomers School
1009,Mendenhall Middle,Guilford County Schools,Greensboro,NC,Guilford County,205 Willoughby Boulevard,27408,1,Mendenhall Middle School
1010,Claxton Elementary,Guilford County Schools,Greensboro,NC,Guilford County,3720 Pinetop Road,27410,0,Claxton Elementary School
1011,Triangle Lake Montessori Elem,Guilford County Schools,High Point,NC,Guilford County,2401 Triangle Lake Road,27260,0,Triangle Lake Montessori Elem
1012,Swann Middle School,Guilford County Schools,Greensboro,NC,Guilford County,811 Cypress Street,27405,0,Swann Middle School
1013,Northern Guilford Elementary,Guilford County Schools,Greensboro,NC,Guilford County,3801 NC Highway 150 East,27455,0,Northern Guilford Elementary School
1014,Monticello-Brown Summit Elem,Guilford County Schools,Browns Summit,NC,Guilford County,5006 NC Highway 150 East,27214,0,Monticello-Brown Summit Elem
1015,Northwest Guilford Middle,Guilford County Schools,Greensboro,NC,Guilford County,5300 Northwest School Road,27409,0,Northwest Guilford Middle School
1016,Eastern Guilford High,Guilford County Schools,Gibsonville,NC,Guilford County,415 Peeden Drive,27249,0,Eastern Guilford High School
1017,Gateway Education Center,Guilford County Schools,Greensboro,NC,Guilford County,3205 East Wendover Aveune,27405,0,Gateway Education Center
1018,Southwest Guilford High,Guilford County Schools,High Point,NC,Guilford County,4364 Barrow Road,27265,0,Southwest Guilford High School
1019,Florence Elementary,Guilford County Schools,High Point,NC,Guilford County,7605 Florence School Road,27265,0,Florence Elementary School
1020,Northwest Guilford High,Guilford County Schools,Greensboro,NC,Guilford County,5240 Northwest School Road,27409,1,Northwest Guilford High School
1021,Allen Jay Middle - A Preparatory Academy,Guilford County Schools,High Point,NC,Guilford County,1201 East Fairfield Rd,27263,0,Allen Jay Middle - A Preparatory Academy
1022,Nathanael Greene Elementary,Guilford County Schools,Liberty,NC,Guilford County,2717 NC Highway 62 East,27298,0,Nathanael Greene Elementary School
1023,Uncg Early/Middle College,Guilford County Schools,Greensboro,NC,Guilford County,1408 Walker Avenue,27412,0,Uncg Early/Middle College
1024,T Wingate Andrews High,Guilford County Schools,High Point,NC,Guilford County,1920 McGuinn Drive,27265,0,T Wingate Andrews High School
1025,Gillespie Park Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1900 Martin Luther King Jr Dri,27406,0,Gillespie Park Elementary School
1026,Philip J Weaver Ed Center,Guilford County Schools,Greensboro,NC,Guilford County,300 South Spring Street,27401,1,Philip J Weaver Ed Center
1027,Hunter Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1305 Merritt Drive,27407,0,Hunter Elementary School
1028,General Greene Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1501 Benjamin Parkway,27408,0,General Greene Elementary School
1029,Haynes Inman Education Center,Guilford County Schools,Jamestown,NC,Guilford County,200 Haynes Road,27282,0,Haynes Inman Education Center
1030,Bluford Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1901 Tuscaloosa Street,27401,0,Bluford Elementary School
1031,Peeler Open Elementary,Guilford County Schools,Greensboro,NC,Guilford County,2200 Randall Street,27401,0,Peeler Open Elementary School
1032,Johnson Street Global Studies,Guilford County Schools,High Point,NC,Guilford County,1601 Johnson Street,27262,0,Johnson Street Global Studies
1033,Sedgefield Elementary,Guilford County Schools,Greensboro,NC,Guilford County,2905 Groometown Road,27407,0,Sedgefield Elementary School
1034,Parkview Village Elementary,Guilford County Schools,High Point,NC,Guilford County,325 Gordon Street,27260,0,Parkview Village Elementary School
1035,Jamestown Elementary,Guilford County Schools,Jamestown,NC,Guilford County,108 Potter Drive,27282,0,Jamestown Elementary School
1036,Middle College At Gtcc-High Point,Guilford County Schools,High Point,NC,Guilford County,901 South Main Street,27260,0,Middle College At Gtcc-High Point
1037,James Y Joyner Elementary,Guilford County Schools,Greensboro,NC,Guilford County,3300 Normandy Road,27408,0,James Y Joyner Elementary School
1038,Irving Park Elementary,Guilford County Schools,Greensboro,NC,Guilford County,1310 Sunset Drive,27408,0,Irving Park Elementary School
1039,Bessemer Elementary,Guilford County Schools,Greensboro,NC,Guilford County,918 Huffine Mill Road,27405,0,Bessemer Elementary School
